timesteps,mean_eval_return,std_eval_return,n_eval_episodes
10000,-12.7109832,3.94998469852175,10
20000,-9.1905654,2.5326053560314996,10
30000,-10.3893272,2.407462276181531,10
40000,-12.1574723,2.1807785217141626,10
50000,-16.2588474,1.791182581225387,10
60000,-18.463368,1.560795427133998,10
70000,-17.9874601,2.534715055703321,10
80000,-19.640241800000002,1.3440256816484426,10
90000,-19.940094200000004,2.3107613477811935,10
100000,-17.0961896,2.0899683193816694,10
110000,-16.2548071,1.638504028169382,10
120000,-16.232419600000004,1.732167206344249,10
130000,-13.453249499999998,1.4490786600372154,10
140000,-11.561987399999998,2.2087039146866743,10
150000,-11.4117644,2.156428217354438,10
160000,-8.7129999,2.2760256993704817,10
170000,-10.192631899999999,2.053539464218862,10
180000,-9.7159437,1.8143953570996618,10
190000,-9.5781178,1.951808573013798,10
200000,-8.8125182,2.094596564212345,10
210000,-8.993909399999998,2.537389504098541,10
220000,-8.667707000000002,1.5355082314136255,10
230000,-7.6409146,1.3613788414471706,10
240000,-8.889300300000002,2.065211828494891,10
250000,-8.958742400000002,2.7666743229975297,10
260000,-7.322144,2.524841970560257,10
270000,-7.0937107,2.182857013422045,10
280000,-8.108689099999998,3.530794230185255,10
290000,-7.311671700000001,1.9501361718367283,10
300000,-8.7823986,2.4299223300107435,10
310000,-7.189507300000001,3.3939325016294903,10
320000,-8.0264644,3.155035832574401,10
330000,-7.6464984000000005,2.8488703807044713,10
340000,-7.787257000000001,2.0335535439031847,10
350000,-7.5894393,3.3261455216014846,10
360000,-6.647064300000001,2.662300939974557,10
370000,-6.8875119,1.8448313035517068,10
380000,-6.251149799999999,2.5417874502172597,10
390000,-7.6710571000000005,2.4721061272236455,10
400000,-6.3985634000000005,2.04763736377466,10
410000,-5.941706900000001,1.7167174765240465,10
420000,-6.431217200000001,1.2716057559907317,10
430000,-7.2473692,3.0527896289072,10
440000,-5.479340299999999,2.3608121120841044,10
450000,-6.177017099999999,3.2245778450248164,10
460000,-6.2095565,2.8182350319008616,10
470000,-6.4999151,2.7506853471900943,10
480000,-4.7215999,1.1833732848097807,10
490000,-6.728269399999999,1.1938614180648606,10
500000,-5.8090833,1.538712391563287,10
