#{"t_start": 1784439046.130854, "env_id": "Reacher-v5"}
r,l,t
-49.936216,50,0.908484
-56.634967,50,0.940968
-53.430624,50,0.971269
-60.435941,50,1.002182
-58.85718,50,1.033992
-64.443936,50,1.064448
-58.016019,50,1.095559
-63.877711,50,1.126431
-58.103429,50,1.158378
-55.840392,50,1.189187
-60.583619,50,1.220111
-58.500801,50,1.251602
-59.54433,50,1.283001
-63.757621,50,1.313484
-58.954953,50,1.344984
-70.893734,50,1.375342
-61.528587,50,1.405778
-57.9478,50,1.437717
-52.899337,50,1.468067
-59.546602,50,1.49849
-65.289086,50,1.529733
-61.710559,50,1.561165
-62.743458,50,1.591633
-70.390165,50,1.622627
-67.539971,50,1.653904
-72.913434,50,1.684524
-57.64998,50,1.715373
-64.948955,50,1.747279
-64.09832,50,1.777753
-59.913502,50,1.808463
-58.513027,50,1.838646
-61.956789,50,1.870105
-61.453422,50,1.90051
-63.98787,50,1.93132
-58.298596,50,1.962134
-56.545538,50,1.992228
-55.82826,50,2.022614
-56.979454,50,2.054059
-66.437374,50,2.085031
-62.560833,50,2.115758
-66.005967,50,4.703989
-56.49571,50,4.737595
-63.836055,50,4.772373
-62.288056,50,4.808279
-55.247074,50,4.840094
-58.416205,50,4.871135
-59.328201,50,4.903459
-57.0351,50,4.934112
-54.711115,50,4.964526
-61.990357,50,4.995636
-55.449968,50,5.196633
-58.357705,50,5.227196
-57.3768,50,5.257378
-59.576644,50,5.288941
-57.683097,50,5.31952
-62.940341,50,5.350171
-63.898285,50,5.380901
-59.06823,50,5.412608
-58.216886,50,5.44276
-69.281523,50,5.472911
-60.142792,50,5.504764
-56.173011,50,5.535388
-62.880516,50,5.566379
-51.387432,50,5.598513
-59.808215,50,5.62934
-66.426961,50,5.660356
-64.788041,50,5.691732
-64.065248,50,5.721908
-63.02691,50,5.752399
-60.767828,50,5.782854
-65.187318,50,5.814469
-60.000243,50,5.845224
-66.300393,50,5.875907
-56.536147,50,5.907721
-59.493211,50,5.938659
-65.094617,50,5.969259
-59.165145,50,6.000646
-53.099354,50,6.031113
-61.344042,50,6.06191
-58.028825,50,6.094075
-61.901039,50,6.125924
-62.851057,50,8.366595
-53.051451,50,8.398111
-59.920846,50,8.43357
-54.785708,50,8.468937
-65.200687,50,8.504804
-59.409683,50,8.537363
-64.502017,50,8.568714
-53.057208,50,8.59952
-49.745516,50,8.63193
-58.688958,50,8.662886
-58.075672,50,8.694114
-51.445792,50,8.729433
-64.506055,50,8.763891
-52.471205,50,8.804176
-55.491992,50,8.844757
-52.679469,50,8.884831
-52.602032,50,8.928315
-58.353005,50,8.969572
-52.427532,50,9.011011
-54.047434,50,9.302758
-63.777267,50,9.348383
-51.499218,50,9.395293
-63.02086,50,9.442993
-56.95579,50,9.489664
-60.246724,50,9.536601
-60.988444,50,9.576396
-46.53527,50,9.613486
-64.908624,50,9.650393
-60.136146,50,9.684539
-56.233062,50,9.718987
-50.537339,50,9.753408
-54.242807,50,9.785649
-54.768653,50,9.817763
-59.942547,50,9.850213
-49.078585,50,9.881425
