#{"t_start": 1784446208.7240992, "env_id": "NoisyGoalReacher-v0"}
r,l,t
-60.089362,50,0.842511
-67.789787,50,0.874761
-72.894827,50,0.904695
-64.917541,50,0.935094
-62.534347,50,0.96527
-63.40024,50,0.996907
-54.41208,50,1.027534
-69.108636,50,1.05764
-61.78513,50,1.088749
-59.552832,50,1.119334
-58.819526,50,1.871336
-58.067709,50,1.902597
-64.541215,50,1.932893
-63.857456,50,1.963178
-58.937118,50,1.994701
-69.757963,50,2.025203
-69.470372,50,2.056042
-56.912092,50,2.087845
-55.476841,50,2.118608
-57.705376,50,2.14922
-65.482241,50,2.707347
-59.932718,50,2.737727
-58.091414,50,2.768344
-70.733425,50,2.799703
-58.762754,50,2.830193
-65.016097,50,2.860862
-67.086819,50,2.896756
-63.859549,50,2.926806
-66.289638,50,2.957687
-59.337469,50,2.988153
-56.264494,50,3.541581
-59.291141,50,3.572444
-59.054765,50,3.604193
-62.49608,50,3.63501
-61.063542,50,3.666186
-60.651478,50,3.697084
-56.983192,50,3.728966
-56.974925,50,3.760199
-56.172961,50,3.791033
-60.918708,50,3.822752
-54.109751,50,4.373549
-56.893103,50,4.404121
-56.742196,50,4.435596
-62.337427,50,4.465872
-47.32332,50,4.496258
-59.004399,50,4.527867
-57.748511,50,4.558793
-60.803315,50,4.589224
-54.518304,50,4.620414
-54.541618,50,4.651149
-61.393651,50,4.682311
-50.899167,50,5.23486
-58.124646,50,5.265962
-55.780729,50,5.29715
-56.020302,50,5.328474
-49.717361,50,5.359319
-60.458086,50,5.389792
-59.113631,50,5.421447
-51.797088,50,5.452306
-53.294092,50,5.482228
-58.780048,50,5.512768
-58.502207,50,6.069869
-55.205576,50,6.100487
-58.346364,50,6.132302
-52.018135,50,6.162939
-50.772511,50,6.19393
-48.979536,50,6.224574
-49.018722,50,6.256117
-52.351845,50,6.287095
-51.717889,50,6.318149
-46.796109,50,6.349618
-54.991106,50,6.904879
-45.542138,50,6.935427
-46.437285,50,6.967093
-55.134972,50,6.9979
-50.177777,50,7.028555
-46.764082,50,7.060778
-46.815578,50,7.092132
-48.624753,50,7.123668
-56.532873,50,7.155459
-55.853533,50,7.185771
-49.409027,50,7.741352
-46.035873,50,7.773186
-47.404293,50,7.805701
-42.101753,50,7.836612
-44.374702,50,7.8687
-43.991158,50,7.899918
-50.749195,50,7.930757
-49.356778,50,7.96246
-47.929037,50,7.992875
-52.336348,50,8.023623
-51.084458,50,8.055387
-48.9668,50,8.603962
-39.934589,50,8.634977
-46.918839,50,8.667193
-40.725515,50,8.698629
-37.638741,50,8.729329
-36.474442,50,8.761679
-46.283892,50,8.792739
-38.877674,50,8.823683
-46.575236,50,8.854301
-39.002377,50,8.885879
-45.636873,50,9.440973
-49.065499,50,9.472818
-42.197185,50,9.504127
-43.635584,50,9.533852
-44.532395,50,9.564632
-43.159748,50,9.594988
-44.460363,50,9.625513
-42.887181,50,9.656485
-44.511995,50,9.689101
-37.897072,50,9.720373
-31.373699,50,10.278785
-32.550023,50,10.309811
-42.558715,50,10.34035
-31.903109,50,10.371205
-38.928318,50,10.40339
-35.279136,50,10.435646
-40.12486,50,10.466825
-36.821531,50,10.498695
-35.349818,50,10.529594
-28.897237,50,10.560729
-42.445654,50,11.131704
-30.992652,50,11.162736
-38.334548,50,11.194348
-34.046447,50,11.224831
-32.697415,50,11.255957
-35.212795,50,11.287773
-35.764924,50,11.318976
-31.063149,50,11.349953
-30.916254,50,11.380962
-30.140778,50,11.413438
-31.090513,50,11.444041
-28.863065,50,11.999136
-26.265656,50,12.029782
-31.105885,50,12.060907
-25.927956,50,12.092198
-35.2102,50,12.123018
-29.108525,50,12.154058
-33.304153,50,12.184656
-34.056411,50,12.216381
-31.61261,50,12.247355
-34.842265,50,12.277824
-32.203501,50,12.834763
-28.102263,50,12.865312
-23.808143,50,12.895861
-26.832084,50,12.927438
-24.856891,50,12.958398
-30.02475,50,12.989511
-31.420556,50,13.021144
-21.095788,50,13.052294
-26.655916,50,13.083118
-25.599672,50,13.115461
-26.669216,50,13.673758
-18.251622,50,13.706172
-26.00545,50,13.738474
-31.617357,50,13.770022
-25.083015,50,13.801889
-25.749407,50,13.833873
-24.744727,50,13.864709
-19.986433,50,13.895724
-26.6645,50,13.927483
-25.776161,50,13.958519
-24.153361,50,14.5105
-21.431618,50,14.542638
-26.883685,50,14.574186
-27.201002,50,14.605435
-21.016085,50,14.637323
-22.490468,50,14.668408
-23.250576,50,14.699804
-24.38107,50,14.731698
-28.128965,50,14.762407
-24.557671,50,14.79357
-27.255415,50,14.825339
-28.651364,50,15.384072
-20.244288,50,15.415036
-18.942127,50,15.447126
-24.15453,50,15.478559
-24.319157,50,15.509411
-26.165239,50,15.54166
-22.21687,50,15.572069
-25.58853,50,15.60314
-22.708163,50,15.635704
-24.764884,50,15.666647
-25.229139,50,16.232141
-24.723961,50,16.264325
-20.257829,50,16.295963
-21.029703,50,16.327389
-20.622847,50,16.359498
-17.492846,50,16.390967
-16.909087,50,16.422676
-21.966821,50,16.454515
-22.143327,50,16.48575
-24.940427,50,16.516553
-22.31513,50,17.084221
-21.01316,50,17.115048
-19.375554,50,17.145742
-22.262153,50,17.177467
-19.912658,50,17.208258
-17.130062,50,17.239264
-18.577322,50,17.271266
-19.894783,50,17.302027
-21.721922,50,17.333819
-19.267361,50,17.365808
-18.935432,50,17.938467
-21.825807,50,17.970719
-18.097154,50,18.001658
